安徽	ān huī
合肥	hé féi
安庆	ān qìng
蚌埠	bèng bù
亳州	bó zhōu
宣城	xuān chéng
池州	chí zhōu
滁州	chú zhōu
阜阳	fù yáng
淮北	huái běi
淮南	huái nán
黄山	huáng shān
六安	lù ān
马鞍山	mǎ ān shān
宿州	sù zhōu
铜陵	tóng líng
芜湖市	wú hú
福建	fú jiàn
厦门	xià mén
福州	fú zhōu
龙岩	lóng yán
南平	nán píng
宁德	níng dé
莆田	pú tián
泉州	quán zhōu
三明	sān míng
漳州	zhāng zhōu
甘肃	gān sù
兰州	lán zhōu
酒泉	jiǔ quán
嘉峪关	jiā yù guān
张掖	zhāng yè
金昌	jīn chāng
武威	wǔ wēi
白银	bái yín
定西	dìng xī
陇南	lǒng nán
天水	tiān shuǐ
平凉	píng liáng
庆阳	qìng yáng
临夏	lín xià
甘南	gān nán
广东	guǎng dōng
广州	guǎng zhōu
深圳	shēn zhèn
清远	qīng yuǎn
韶关	sháo guān
河源	hé yuán
梅州	méi zhōu
潮州	cháo zhōu
肇庆	zhào qìng
云浮	yún fú
佛山	fó shān
东莞	dōng guǎn
惠州	huì zhōu
汕尾	shàn wěi
揭阳	jiē yáng
汕头	shàn tóu
湛江	zhàn jiāng
茂名	mào míng
阳江	yáng jiāng
江门	jiāng mén
中山	zhōng shān
珠海	zhū hǎi
贵州	gùi zhōu
毕节	bì jié
遵义	zūn yì
铜仁	tóng rén
六盘水	liù pán shuǐ
安顺	ān shùn
贵阳	guì yáng
黔西南布	qián xī nán bù
黔南布	qián nán bù
黔东南	qián dōng nán
海南	hǎi nán
海口	hǎi kǒu
三亚	sān yà
儋州	dān zhōu
三沙	sān shā
琼海	qióng hǎi
万宁	wàn níng
五指山	wǔ zhǐ shān
东方	dōng fāng
文昌	wén chāng
临高	lín gāo
澄迈	chéng mài
定安	dìng ān
屯昌	tún chāng
昌江	chāng jiāng
白沙	bái shā
琼中	qióng zhōng
陵水	líng shuǐ
保亭	bǎo tíng
乐东	lè dōng
河北	hé běi
石家庄	shí jiā zhuāng
保定	bǎo dìng
沧州	cāng zhōu
承德	chéng dé
邯郸	hán dān
衡水	héng shuǐ
廊坊	láng fáng
秦皇岛	qín huáng dǎo
唐山	táng shān
邢台	xíng tái
张家口	zhāng jiā kǒu
辛集	xīn jí
定州	dìng zhōu
黑龙江	hēi lóng jiāng
哈尔滨	hā ěr bīn
大庆	dà qìng
鹤岗	hè gǎng
黑河	hēi hé
佳木斯	jiā mù sī
鸡西	jī xī
牡丹江	mǔ dān jiāng
齐齐哈尔	qí qí hā ěr
七台河	qī tái hé
双鸭山	shuāng yā shān
绥化	suí huà
伊春	yī chūn
大兴	dà xīng
安岭	ān lǐng
河南	hé nán
郑州	zhèng zhōu
安阳	ān yáng
鹤壁	hè bì
焦作	jiāo zuò
开封	kāi fēng
漯河	luò hé
洛阳	luò yáng
南阳	nán yáng
平顶山	píng dǐng shān
濮阳	pú yáng
三门峡	sān mén xiá
商丘	shāng qiū
新乡	xīn xiāng
信阳	xìn yáng
许昌	xǔ chāng
周口	zhōu kǒu
驻马店	zhù mǎ diàn
济源	jì yuán
湖北	hú běi
武汉	wǔ hàn
鄂州	è zhōu
黄冈	huáng gāng
黄石	huáng shí
荆门	jīng mén
荆州	jīng zhōu
十堰	shí yàn
随州	suí zhōu
襄阳	xiāng yáng
咸宁	xián níng
孝感	xiào gǎn
宜昌	yí chāng
恩施	ēn shī
天门	tiān mén
潜江	qián jiāng
仙桃	xiān táo
神农架	shén nóng jià
湖南	hú nán
长沙	cháng shā
常德	cháng dé
郴州	chēn zhōu
衡阳	héng yáng
怀化	huái huà
娄底	lóu dǐ
邵阳	shào yáng
湘潭	xiāng tán
益阳	yì yáng
永州	yǒng zhōu
岳阳	yuè yáng
张家界	zhāng jiā jiè
株洲	zhū zhōu
湘西	xiāng xī
江苏	jiāng sū
南京	nán jīng
常州	cháng zhōu
淮安	huái ān
连云港	lián yún gǎng
南通	nán tōng
宿迁	sù qiān
苏州	sū zhōu
泰州	tài zhōu
无锡	wú xī
徐州	xú zhōu
盐城	yán chéng
扬州	yáng zhōu
镇江	zhèn jiāng
江西	jiāng xī
南昌	nán chāng
抚州	fǔ zhōu
赣州	gàn zhōu
吉安	jí ān
景德镇	jǐng dé zhèn
九江	jiǔ jiāng
萍乡	píng xiāng
上饶	shàng ráo
新余	xīn yú
宜春	yí chūn
鹰潭	yīng tán
吉林	jí lín
长春	cháng chūn
白城	bái chéng
白山	bái shān
辽源	liáo yuán
四平	sì píng
松原	sōng yuán
通化	tōng huà
延边	yán biān
辽宁	liáo níng
沈阳	shěn yáng
大连	dà lián
鞍山	ān shān
本溪	běn xī
朝阳	cháo yáng
丹东	dān dōng
抚顺	fǔ shùn
阜新	fù xīn
葫芦岛	hú lu dǎo
锦州	jǐn zhōu
辽阳	liáo yáng
盘锦	pán jǐn
铁岭	tiě lǐng
营口	yíng kǒu
青海	qīng hǎi
西宁	xīn íng
海东	hǎi dōng
海西族	hǎi xī zú
海北	hǎi běi
海南	hǎi nán
黄南	huáng nán
玉树	yù shù
果洛	guǒ luò
陕西	shǎn xī
西安	xī ān
安康	ān kāng
宝鸡	bǎo jī
汉中	hàn zhōng
商洛	shāng luò
铜川	tóng chuān
渭南	wèi nán
咸阳	xián yáng
延安	yán ān
榆林	yú lín
山东	shān dōng
济南	jǐ nán
青岛	qīng dǎo
滨州	bīn zhōu
德州	dé zhōu
东营	dōng yíng
菏泽	hé zé
济宁	jǐ níng
淄博	zī bó
聊城	liáo chéng
临沂	lín yí
日照	rì zhào
泰安	tài ān
潍坊	wéi fāng
威海	wēi hǎi
烟台	yān tái
枣庄	zǎo zhuāng
山西	shān xī
太原	tài yuán
长治	cháng zhì
大同	dà tóng
晋城	jìn chéng
晋中	jìn zhōng
临汾	lín fén
吕梁	lǚ líang
朔州	shuò zhōu
忻州	xīn zhōu
阳泉	yáng quán
运城	yùn chéng
四川	sì chuān
成都	chéng dū
绵阳	mián yáng
广元	guǎng yuán
南充	nán chōng
巴中	bā zhōng
达州	dá zhōu
雅安	yǎ ān
德阳	dé yáng
遂宁	sùi níng
广安	guǎng ān
眉山	méi shān
资阳	zī yáng
乐山	lè shān
